userID,recommended_artists
15,"['Goto80', 'Federico Miranda', 'Mitchel Musso', 'Boston', 'Neil Young & Crazy Horse', 'The Avett Brothers', 'The Tallest Man on Earth']"
16,"['múm & Úrú Búrú Sextettinn', 'Goto80', 'Ferras', 'Μιχάλης Χατζηγιάννης', 'Kostas Martakis', nan, 'Stavento']"
17,"['múm & Úrú Búrú Sextettinn', 'Mitchel Musso', 'Ferras', 'The Red Jumpsuit Apparatus', 'Johnie 3', 'The Spill Canvas', 'From First to Last']"
18,"['Five Finger Death Punch', 'KISS', 'The White Stripes', 'Metallica', 'Dio', 'Neil Young & Crazy Horse', 'Boston']"
20,"['Goto80', 'múm & Úrú Búrú Sextettinn', 'Federico Miranda', nan, 'Nadja', 'offthesky', 'Autechre']"
21,"['múm & Úrú Búrú Sextettinn', 'Goto80', 'Mitchel Musso', 'Maroon', 'Britney Spears vs Avril Lavigne', 'Olivia Ruiz', 'Indochine']"
22,"['Forbidden', 'Judas Priest', 'Queensrÿche', 'Dimension Zero', 'Amon Amarth', 'immi', 'Revocation']"
23,"['Die Sektor', 'Seabound', 'Mindless Faith', 'Sleeper', 'Feeder', 'Altered Images', 'Arcadia']"
24,"['Goto80', 'Mitchel Musso', 'múm & Úrú Búrú Sextettinn', nan, nan, 'Britney Spears vs Avril Lavigne', 'N-O-D']"
25,"['Mitchel Musso', 'Ferras', 'Goto80', 'N-O-D', 'Selena Gomez & Demi Lovato', 'David Guetta', 'Afrojack']"
26,"['Forbidden', 'Queensrÿche', 'Judas Priest', 'Slipknot', 'Annihilator', 'Armored Saint', 'Halford']"
27,"['Goto80', 'múm & Úrú Búrú Sextettinn', 'Ferras', 'Paty Cantú', 'Gloria Trevi', 'Shakira', 'Don Caballero']"
28,"['Depeche Mode', 'Altered Images', 'Thomas Dolby', 'B-Movie', 'Carved Souls', 'Federico Miranda', 'Goto80']"
29,"['Federico Miranda', 'Mitchel Musso', 'Ferras', 'Lady Gaga', 'David Sylvian & Robert Fripp', nan, nan]"
30,"['Selena Gomez & Demi Lovato', 'Maroon', 'Katy Perry', 'Ferras', 'múm & Úrú Búrú Sextettinn', 'Johnny Hallyday', 'Olivia Ruiz']"
31,"['Erasure', 'Dasaev', 'Marsheaux', 'Pet Shop Boys', 'Public Image Ltd.', 'Johnny Hates Jazz', 'A Flock of Seagulls']"
32,"['The Enemy', 'theaudience', 'Sleeper', 'The White Stripes', 'Five Finger Death Punch', 'The Killers', 'Mute Math']"
33,"['Federico Miranda', 'múm & Úrú Búrú Sextettinn', 'Mitchel Musso', 'Jordan Rudess', 'Pathosray', 'Judas Priest', 'Queensrÿche']"
34,"['Seabound', 'ADULT.', 'Mindless Faith', 'Pulp', 'Blu', 'Arcadia', 'Eurythmics']"
35,"['Darkwood', 'The Avett Brothers', 'Laura Marling', 'Pedro Guerra', 'Bob Dylan', 'James Taylor', 'The Band']"
36,"['Say Anything', 'La Dispute', 'Dance of Days', 'Jimmy Eat World', 'Set Your Goals', 'Silverstein', 'Before Their Eyes']"
37,"['The Alter Boys', 'Amon Düül II', 'Frank Zappa', 'Slint', 'The Telescopes', 'Psychic TV', 'Japan']"
38,"['Ferras', 'múm & Úrú Búrú Sextettinn', 'Mitchel Musso', 'Joan Jett and the Blackhearts', 'Foo Fighters', 'Silverchair', 'Stone Temple Pilots']"
39,"['Judas Priest', 'Queensrÿche', 'Chelsea Grin', 'God Module', 'Switchblade Symphony', 'goJA moon ROCKAH', 'Imperative Reaction']"
40,"[""Psy'Aviah"", 'Crossbreed', 'Atari Teenage Riot', 'Xmal Deutschland', 'Seabound', 'Orange Sector', 'Poésie Noire']"
41,"['Suicide Silence', 'Chelsea Grin', 'Queensrÿche', ""Luca Turilli's Dreamquest"", 'Cacophony', 'Black Label Society', 'Avalanch']"
42,"['Mute Math', 'Muse', 'The Killers', 'Five Finger Death Punch', 'Rush', 'Federico Miranda', 'Ferras']"
43,"['Cibo Matto', 'Luke Vibert', 'Jazzanova', 'Tripswitch', 'Moby', 'Showtek', 'Nicolas Jaar']"
44,"['The White Stripes', 'Rush', 'KISS', 'Porcupine Tree', 'Xiu Xiu', 'Frank Zappa', 'Uriah Heep']"
45,"['Gloria Trevi', 'Paty Cantú', 'La Nueva Banda Timbiriche', 'múm & Úrú Búrú Sextettinn', 'Goto80', 'Róisín Murphy', 'David Sylvian']"
46,"['Ferras', 'Mitchel Musso', 'Goto80', 'Selena Gomez & Demi Lovato', 'N-O-D', 'La Nueva Banda Timbiriche', 'Sin Bandera']"
47,"['Katy Perry', 'Britney Spears vs Avril Lavigne', 'Selena Gomez & Demi Lovato', 'Federico Miranda', 'Goto80', 'Bratmobile', 'Bad Religion']"
48,"['Federico Miranda', 'Ferras', 'múm & Úrú Búrú Sextettinn', 'Mando', 'Agnetha Fältskog', 'Volbeat', 'Joan Jett and the Blackhearts']"
49,"['Federico Miranda', 'Goto80', 'Ferras', 'LCD Soundsystem', 'Miike Snow', 'Grizzly Bear', 'Milburn']"
50,"['Sleeper', 'Blur', 'Feeder', 'KISS', 'The Smashing Pumpkins', 'Noel Gallagher', 'Blu']"
51,"['Judas Priest', 'Forbidden', 'Queensrÿche', 'Lost Horizon', 'Sepultura', 'Hirax', 'Flotsam and Jetsam']"
52,"['Judas Priest', 'Suicide Silence', 'Chelsea Grin', 'More Than A Thousand', 'Killswitch Engage', 'Paulinho Moska', 'Myllena']"
53,"['Maroon', 'N-O-D', 'Katy Perry', 'múm & Úrú Búrú Sextettinn', 'Mitchel Musso', 'Aaron Carter', 'The Partridge Family']"
54,"['Maroon', 'Britney Spears vs Avril Lavigne', 'N-O-D', 'múm & Úrú Búrú Sextettinn', 'Goto80', 'Gloria Trevi', 'Paty Cantú']"
55,"['Living Legends', 'Atmosphere', 'Flux Axiom', 'Killer Mike', 'Madlib', 'Eminem feat. Drake, Kanye West, Lil Wayne', 'Jedi Mind Tricks']"
56,"['Bratmobile', 'Social Distortion', 'Donots', 'Cascadura', 'Massacration', 'The O.C. Supertones', 'Rancid']"
57,"['La Dispute', 'Say Anything', 'Dance of Days', 'The Jesus Lizard', 'The Gloria Record', 'Molotov Solution', 'Blinded Colony']"
58,"['Federico Miranda', 'Mitchel Musso', 'múm & Úrú Búrú Sextettinn', 'Katy Perry', 'N-O-D', 'Emerson Drive', 'Lady Antebellum']"
59,"['Stone Sour', 'Snot', 'Slipknot', 'Judas Priest', 'Chelsea Grin', 'Jordan Rudess', 'Mastodon']"
60,"['Ferras', 'múm & Úrú Búrú Sextettinn', 'Federico Miranda', 'Max Richter', 'Ludovico Einaudi', 'The Appleseed Cast', 'Phoenix and the Turtle']"
61,"['Goto80', 'múm & Úrú Búrú Sextettinn', 'Mitchel Musso', 'Lulu Santos', 'Ana Cañas', 'Detonautas Roque Clube', 'Os Paralamas do Sucesso']"
62,"['Depeche Mode', 'Thomas Dolby', 'Eurythmics', 'B-Movie', 'Johnny Hates Jazz', 'Mindless Faith', 'Xmal Deutschland']"
63,"['Queensrÿche', 'Forbidden', 'Suicide Silence', 'Deströyer 666', 'Sepultura', 'Annihilator', 'Slipknot']"
64,"['LTJ Bukem', 'Lovage', 'Tycho', 'Luke Vibert', 'Cibo Matto', 'Herbie Hancock', 'Metropolitan Jazz Affair']"
65,"['KISS', 'The Smashing Pumpkins', 'Rush', 'The Letter Black', 'Rede Ativa', 'tobyMac', 'Rush of Fools']"
66,"['Depeche Mode', 'Altered Images', 'Arcadia', 'Dynamic Masters', 'Marsheaux', 'B-Movie', 'Carved Souls']"
68,"['Ferras', 'Goto80', 'Mitchel Musso', 'iamamiwhoami', 'David Sylvian', nan, 'ＲＥＤ']"
69,"['The Clientele', 'Patrick Wolf', 'The Aluminum Group', 'Quasi', 'Atmosphere', 'Ferras', 'Mitchel Musso']"
70,"['The Litter', 'Death from Above 1979', 'The Black Keys', 'KISS', 'Rush', 'Black Lips', 'Soledad Brothers']"
71,"['Chelsea Grin', 'Judas Priest', 'Suicide Silence', 'Mastodon', 'Jordan Rudess', 'Queensrÿche', 'Jon & Vangelis']"
72,"['Goto80', 'Mitchel Musso', 'Federico Miranda', 'Andrew Sixty', 'Sylver', 'DJ BoBo', 'Cascada']"
73,"['B-Movie', 'A Flock of Seagulls', 'Carved Souls', 'Depeche Mode', 'Arcadia', 'Mindless Faith', 'Seabound']"
74,"['Mitchel Musso', 'Federico Miranda', 'Ferras', 'Sin Bandera', 'Fey', 'Neil Young', 'Pedro Guerra']"
75,"['Mitchel Musso', 'múm & Úrú Búrú Sextettinn', 'Ferras', 'Fresno', 'I Am Ghost', 'Johnie 3', 'The Red Jumpsuit Apparatus']"
76,"['Luzmelt', 'SUGIZO', 'ORANGE RANGE', 'Wonder Girls', '東方神起', 'Plastic Tree', 'LM.C']"
77,"['Mara Aranda & Solatge', 'Grizzly Bear', 'Chances With Wolves', 'Death from Above 1979', 'The Black Keys', 'Ferras', 'Federico Miranda']"
78,"['Judas Priest', 'Forbidden', 'Chelsea Grin', 'Kromvele', 'The Old Dead Tree', 'Hellyeah', 'Void']"
79,"['Mitchel Musso', 'múm & Úrú Búrú Sextettinn', 'Goto80', 'Joss Stone', 'Maxwell', 'Sissel', 'Kate Winslet']"
80,"['For Today', 'The Jesus Lizard', 'The Gloria Record', 'Killswitch Engage', 'immi', 'Haste the Day', 'Before Their Eyes']"
81,"['Kokane', '213', 'Big Syke', 'Foesum', '2Pac', 'The D.O.C.', 'Eazy-E']"
82,"['múm & Úrú Búrú Sextettinn', 'Goto80', 'Mitchel Musso', 'The Magnetic Fields', 'Wye Oak', 'My Brightest Diamond', 'Arcade Fire']"
83,"['Kader', 'Mabel Matiz', 'Hakan Peker', 'Füsun Önal', 'Kazım Koyuncu', 'Semiramis Pekkan', 'Aylin Aslım']"
84,"['Dio', 'Metallica', 'Led Zeppelin', 'Tuff', 'Vixen', '10cc', 'Hardcore Superstar']"
85,"['Baton Rouge', 'Vixen', 'Tuff', 'Tenkan', 'Eläkeläiset', 'Hardcore Superstar', '10cc']"
86,"['Suicide Silence', 'Chelsea Grin', 'Judas Priest', 'Opeth', 'Cephalic Carnage', 'Fleshgod Apocalypse', 'Devourment']"
87,"['Federico Miranda', 'múm & Úrú Búrú Sextettinn', 'Mitchel Musso', 'Fey', 'Gloria Trevi', 'Katy Perry', 'Maroon']"
88,"['Patrick Wolf', 'The Magnetic Fields', 'Wye Oak', 'Mitchel Musso', 'múm & Úrú Búrú Sextettinn', 'The Pogues', 'Dropkick Murphys']"
89,"['Federico Miranda', 'Ferras', 'Goto80', 'Fey', 'La Nueva Banda Timbiriche', 'Enrique Iglesias', 'Celia']"
90,"['Emerson Drive', 'Lady Antebellum', 'Carrie Underwood', 'Five Finger Death Punch', 'The White Stripes', 'Mute Math', 'The Killers']"
91,"['Komet', 'Aoki Takamasa', 'Pan Sonic', 'Japan', 'The Neon Judgement', 'Amon Düül II', 'Throbbing Gristle']"
92,"['Anamanaguchi', 'Salon Niezależnych', 'Yuko Goto', 'Kate Ryan', 'G.S.Agostinho', 'Modern Talking', 'Basic Element']"
94,"['Franz Ferdinand', 'Arcade Fire', 'Interpol', 'The Decemberists', 'Andrew Bird', 'The Enemy', 'theaudience']"
95,"['Mitchel Musso', 'múm & Úrú Búrú Sextettinn', 'Federico Miranda', nan, 'Kylie Minogue', 'Michel Teló', 'Luan Santana  Fernando e Sorocaba']"
96,"['múm & Úrú Búrú Sextettinn', 'Ferras', 'Federico Miranda', 'Eurythmics', 'Arcadia', 'Imperative Reaction', 'A Flock of Seagulls']"
97,"['Minus the Bear', 'Integral', 'Dananananaykroyd', 'As Cities Burn', 'Haste the Day', 'Neil Perry', 'For Today']"
98,"['Katy Perry', 'Britney Spears vs Avril Lavigne', 'Selena Gomez & Demi Lovato', 'Federico Miranda', 'Goto80', 'Lady Gaga', 'David Sylvian']"
99,"['Bondage Fairies', 'Hot Chip', 'Cansei de Ser Sexy', 'Jesus Jones', 'Shitdisco', 'Pictureplane', 'oOoOO']"
100,"['Mitchel Musso', 'múm & Úrú Búrú Sextettinn', 'Goto80', 'The Enemy', 'Blur', 'Primus', 'The White Stripes']"
101,"['Annihilator', 'Edguy', 'Slipknot', 'Metallica', 'In This Moment', 'The Smashing Pumpkins', 'Five Finger Death Punch']"
102,"['Sophie Zelmani', 'Carole King', 'Paul Simon', 'Goto80', 'Federico Miranda', 'Tom Lehrer', 'El-Creepo!']"
103,"['Marsheaux', 'Men Without Hats', 'Erasure', 'Dinah Shore', 'David Oistrakh, Mstislav Rostropovich; George Szell: Cleveland Orchestra', 'Television', 'Orange Juice']"
104,"['Judas Priest', 'Chelsea Grin', 'Forbidden', 'Lamb', 'Cephalic Carnage', 'Lost Horizon', 'Cacophony']"
105,"['Blind Divine', 'µ-Ziq', 'Alva Noto + Ryuichi Sakamoto', 'The Future Sound of London', 'Telefon Tel Aviv', 'Tim Hecker', 'Nobukazu Takemura']"
106,"['Goto80', 'Ferras', 'Mitchel Musso', 'Stunt Rock', 'Sickboy', 'Drumcorps', 'Enduser']"
107,"['Queensrÿche', 'Forbidden', 'Chelsea Grin', 'Judas Priest', 'Armored Saint', 'Deströyer 666', 'Sepultura']"
108,"['Deströyer 666', 'Krallice', 'Amesoeurs', 'Judas Priest', 'Chelsea Grin', 'Lamb', 'Cephalic Carnage']"
109,"['L.A. Guns', 'Dio', 'Metallica', 'KISS', 'Crosby, Stills & Nash', 'Judas Priest', 'Bonfire']"
110,"['東方神起', 'SHINee', 'Wonder Girls', 'múm & Úrú Búrú Sextettinn', 'Mitchel Musso', nan, 'G-Dragon']"
111,"['Meat Puppets', 'Primus', 'The White Stripes', 'Grizzly Bear', 'Chances With Wolves', 'The Black Keys', 'The Seeds']"
112,"['Rancid', 'Donots', 'Bad Religion', 'Stabbing Westward', 'The Birthday Massacre', 'Switchblade Symphony', 'Crossbreed']"
113,"['Edguy', 'Black Label Society', 'Avalanch', 'Judas Priest', 'Suicide Silence', 'Five Finger Death Punch', 'Rush']"
114,"['Whitesnake', 'Metallica', 'Dio', 'Def Leppard', 'The Allman Brothers Band', 'The White Stripes', 'Five Finger Death Punch']"
115,"['Robin Trower', 'Luther Allison', 'Lewis Black', 'Jimmy Page', 'Don Griffin', 'Susan Tedeschi', 'Bessie Smith']"
116,"['Jeru the Damaja', 'X-Clan', 'Papoose', ""Lil' Wayne"", 'Jedi Mind Tricks', 'Chino XL', 'Ras Kass']"
117,"['Depeche Mode', 'Thomas Dolby', 'Eurythmics', 'B-Movie', 'Johnny Hates Jazz', 'Mindless Faith', 'Xmal Deutschland']"
118,"['Edguy', 'Avalanch', 'Annihilator', 'Judas Priest', 'Chelsea Grin', 'Federico Miranda', 'Goto80']"
119,"['Queensrÿche', 'Judas Priest', 'Chelsea Grin', 'Mutiny Within', 'Amon Amarth', 'Anekdoten', 'Sonata Arctica']"
120,"['Mitchel Musso', 'Federico Miranda', 'múm & Úrú Búrú Sextettinn', 'Sissel', 'Kay Starr', 'Lady Antebellum', 'Emerson Drive']"
121,"['Britney Spears vs Avril Lavigne', 'Katy Perry', 'N-O-D', 'Goto80', 'Federico Miranda', 'Digital Summer', 'Evanescence']"
122,"['Cannonball Adderley', 'Bix Beiderbecke', 'Julie London', 'Quincy Jones', 'Xavier Cugat', 'Caro Emerald', 'Fred Astaire']"
123,"['Federico Miranda', 'Ferras', 'Goto80', 'Vanessa Paradis', 'La Tordue', 'VHS or Beta', 'Bondage Fairies']"
124,"['Feeder', 'Sleeper', 'theaudience', 'Rush', 'KISS', 'Dick4Dick', 'Miike Snow']"
125,"['The Smashing Pumpkins', 'Five Finger Death Punch', 'The White Stripes', 'Tom Petty and the Heartbreakers', 'Neil Young & Crazy Horse', 'múm & Úrú Búrú Sextettinn', 'Federico Miranda']"
126,"['Federico Miranda', 'Ferras', 'Mitchel Musso', 'Lady Gaga', 'iamamiwhoami', nan, nan]"
127,"['Rush', 'The White Stripes', 'Five Finger Death Punch', 'The Darkness', 'Baton Rouge', 'Nirvana', 'Sky Fetish']"
128,"['múm & Úrú Búrú Sextettinn', 'Goto80', 'Mitchel Musso', 'Eurythmics', 'Altered Images', 'Imperative Reaction', 'Carved Souls']"
129,"['Federico Miranda', 'Ferras', 'múm & Úrú Búrú Sextettinn', 'Lady Gaga', 'iamamiwhoami', nan, nan]"
130,"['múm & Úrú Búrú Sextettinn', 'Mitchel Musso', 'Ferras', 'Kate Winslet', 'Sissel', 'Aaron Carter', 'The Partridge Family']"
131,"['Los Pericos', 'Vybz Kartel', 'Long Beach Dub All Stars', 'Rockamovya', 'Big Youth', 'Sugar Minott', 'Marcia Goldschmidt']"
132,"['Mitchel Musso', 'múm & Úrú Búrú Sextettinn', 'Goto80', 'Sin Bandera', 'Gloria Trevi', 'Jane', 'Sam']"
133,"['múm & Úrú Búrú Sextettinn', 'Goto80', 'Ferras', 'Gloria Trevi', 'Paty Cantú', 'Maroon', 'Britney Spears vs Avril Lavigne']"
134,"['Felipe Dylon', 'Marjorie Estiano', 'Wanessa Camargo', 'Goto80', 'múm & Úrú Búrú Sextettinn', 'Britney Spears vs Avril Lavigne', 'Maroon']"
135,"['Christian Death', ""Leaves' Eyes"", 'Gothminister', 'múm & Úrú Búrú Sextettinn', 'Federico Miranda', 'Mutiny Within', 'Amon Amarth']"
136,"['Ferras', 'múm & Úrú Búrú Sextettinn', 'Mitchel Musso', 'Selena Gomez & Demi Lovato', 'Maroon', 'Kate Ryan', 'G.S.Agostinho']"
137,"['Goto80', 'Mitchel Musso', 'Federico Miranda', 'Halou', 'Faithless', 'Scott Walker', 'The Residents']"
139,"['The Invalids', 'Farewell', 'We The Kings', '40 Below Summer', 'Snot', 'Set Your Goals', 'Jimmy Eat World']"
140,"['Mitchel Musso', 'Federico Miranda', 'Ferras', 'Franz Ferdinand', 'Arcade Fire', 'Willy Mason', 'The Tallest Man on Earth']"
141,"['Angelo Branduardi', 'Elisa', 'Luigi Tenco', 'Five Finger Death Punch', 'Rush', 'Federico Miranda', 'Ferras']"
142,"['The Mission', 'Psychic TV', 'The Damned', 'Pet Shop Boys', 'Public Image Ltd.', 'Xmal Deutschland', 'Seabound']"
143,"['Boston', 'Free', 'Neil Young & Crazy Horse', 'KISS', 'The White Stripes', 'Goto80', 'Mitchel Musso']"
144,"['Mitchel Musso', 'Goto80', 'Ferras', 'David Sylvian & Robert Fripp', 'David Sylvian', nan, 'ＲＥＤ']"
145,"['Mitchel Musso', 'Goto80', 'Ferras', 'N-O-D', 'Britney Spears vs Avril Lavigne', 'Jane', 'Adele']"
146,"['múm & Úrú Búrú Sextettinn', 'Federico Miranda', 'Mitchel Musso', '東方神起', 'f(x)', 'Maroon', 'Katy Perry']"
147,"['Maroon', 'N-O-D', 'Katy Perry', 'múm & Úrú Búrú Sextettinn', 'Mitchel Musso', 'Kate Winslet', 'Sissel']"
148,"['Goto80', 'Ferras', 'Mitchel Musso', 'Silverstein', 'Before Their Eyes', 'A Static Lullaby', 'Raein']"
149,"['We The Kings', 'Johnie 3', 'The Invalids', 'Such Gold', 'From First to Last', 'Dance of Days', 'Fresno']"
150,"['Ferras', 'Goto80', 'múm & Úrú Búrú Sextettinn', 'Rodolfo', 'Carpenters', 'iamamiwhoami', 'David Sylvian']"
151,"['Os Paralamas do Sucesso', 'Ira!', 'Detonautas Roque Clube', 'Nenhum de Nós', 'O Rappa', 'Vera Loca', 'Massacration']"
152,"['Mitchel Musso', 'múm & Úrú Búrú Sextettinn', 'Goto80', 'Johnie 3', 'The Red Jumpsuit Apparatus', 'From First to Last', 'The Spill Canvas']"
153,"['Gojira', 'Enslaved', 'Angra', 'James LaBrie', 'Cynic', 'Within Temptation', 'Gothminister']"
154,"['Forbidden', 'Queensrÿche', 'Chelsea Grin', 'As Cities Burn', 'Haste the Day', 'Neil Perry', 'For Today']"
155,"['ADULT.', 'Seabound', 'Mindless Faith', 'XIII. Století', 'Rose Funeral', 'The Damned', 'Psychic TV']"
156,"['Mara Aranda & Solatge', 'Chances With Wolves', 'Dead Poet & Wildcard', 'Death from Above 1979', 'The Seeds', 'J. Cole', 'WIZO']"
157,"['Led Zeppelin', 'Whitesnake', 'L.A. Guns', 'Elvis Presley', 'Johnny Kidd & The Pirates', 'Jethro Tull', 'Def Leppard']"
158,"['Mitchel Musso', 'Goto80', 'Federico Miranda', '鈴木あみ', 'Orange_T', '矢井田瞳', 'Junko Ozawa']"
159,"['múm & Úrú Búrú Sextettinn', 'Goto80', 'Mitchel Musso', 'Groove Armada', 'Luke Vibert', 'Lemon Jelly', 'Moby']"
161,"['God Module', 'Switchblade Symphony', ""Psy'Aviah"", 'Nitzer Ebb', 'Corpore', 'Mindless Faith', 'ADULT.']"
162,"['Federico Miranda', 'Goto80', 'Mitchel Musso', 'Amon Amarth', 'Virgin Steele', 'Hydria', 'Genesis']"
163,"['Brad Paisley', 'Montgomery Gentry', 'Lady Antebellum', 'Bucky Covington', 'Billy Currington', 'Ferras', 'múm & Úrú Búrú Sextettinn']"
164,"['Goto80', 'Federico Miranda', 'Ferras', 'KISS', 'Five Finger Death Punch', 'Days of the New', 'Jerry Cantrell']"
166,"['Thomas Dolby', 'Eurythmics', 'Altered Images', 'Mitchel Musso', 'múm & Úrú Búrú Sextettinn', 'Patrick Wolf', 'The Magnetic Fields']"
168,"['Federico Miranda', 'Goto80', 'Ferras', 'Boards of Canada', 'Outputmessage', 'Omnia', 'Super8 & Tab']"
170,"['Judas Priest', 'Queensrÿche', 'Suicide Silence', 'Five Finger Death Punch', 'The Smashing Pumpkins', 'Edguy', 'Annihilator']"
171,"['Mitchel Musso', 'múm & Úrú Búrú Sextettinn', 'Ferras', 'Dead Poet & Wildcard', 'Chances With Wolves', 'The Dictators', 'The Seeds']"
172,"['Bad Religion', 'Bratmobile', 'Rancid', 'Sleeper', 'theaudience', 'Down to Nothing', 'Terror']"
173,"['Blu', 'Pulp', 'Noel Gallagher', 'Eurythmics', 'Arcadia', 'Animal Collective', 'The Kooks']"
174,"['Susan Egan/Vaneese Thomas/Cheryl Freeman/LaChanze/Lillias White', 'Palos De Fuego', 'Sophie Zelmani', 'Mitchel Musso', 'Ferras', 'Def Leppard', 'Jethro Tull']"
175,"['Carrie Underwood', 'Lady Antebellum', 'Montgomery Gentry', 'Goto80', 'Mitchel Musso', 'Buffy the Vampire Slayer', 'Hair Original Broadway Cast']"
176,"['Psychic TV', 'The Mission', 'Japan', 'Bombay Bicycle Club', 'Franz Ferdinand', 'Arcadia', 'Thomas Dolby']"
177,"['Porcupine Tree', 'The Mars Volta', 'Alusa Fallax', 'Kamelot', 'King Crimson', 'Frank Zappa', 'The Wilde Flowers']"
178,"['Suicide Silence', 'Chelsea Grin', 'Forbidden', 'Pain of Salvation', 'Mastodon', 'Void', 'Dew-Scented']"
179,"['Goto80', 'Mitchel Musso', 'Federico Miranda', 'David Sylvian', 'David Sylvian & Robert Fripp', 'ＲＥＤ', nan]"
180,"['Orchid', 'Phoenix Bodies', 'Converge', 'Hate Eternal', 'Akercocke', 'Chelsea Grin', 'Judas Priest']"
181,"['Opéra de nuit', 'Ceramic Hello', 'Geneva Jacuzzi', 'The White Stripes', 'Rush', 'Mitchel Musso', 'Ferras']"
182,"['Ferras', 'Goto80', 'múm & Úrú Búrú Sextettinn', 'Blank & Jones', 'Nicholas Gunn', 'Nightmares on Wax', 'Red Snapper']"
183,"['Psychic TV', 'Japan', 'The Mission', 'Rush', 'Five Finger Death Punch', 'Arcadia', 'Depeche Mode']"
184,"['Mono Inc.', 'Gothminister', ""Leaves' Eyes"", 'Sleeper', 'Feeder', 'Spacemen 3', 'My Bloody Valentine']"
185,"['Scandinavian Music Group', 'Laura Närhi', 'Anna Abreu', 'Tenkan', 'Eläkeläiset', 'Sunrise Avenue', 'Indica']"
186,"['Wax Angel', 'Therapy?', 'Digital Summer', 'múm & Úrú Búrú Sextettinn', 'Ferras', 'I Am Ghost', 'La Dispute']"
187,"['Xiu Xiu', 'The Mars Volta', 'Alusa Fallax', 'A Flock of Seagulls', 'Imperative Reaction', 'Uriah Heep', 'Porcupine Tree']"
189,"['La Dispute', 'Say Anything', 'I Am Ghost', 'Set Your Goals', 'Jimmy Eat World', 'Suicide Silence', 'Chelsea Grin']"
190,"['Andrew Sixty', 'Sylver', 'DJ BoBo', 'Cascada', 'Alcazar', 'Goto80', 'Mitchel Musso']"
191,"['Imperative Reaction', 'Johnny Hates Jazz', 'B-Movie', 'Eurythmics', 'Thomas Dolby', 'múm & Úrú Búrú Sextettinn', 'Mitchel Musso']"
192,"['Sonata Arctica', 'Enslaved', 'Anekdoten', 'Scale The Summit', 'Periphery', 'Revocation', 'Fleshgod Apocalypse']"
193,"['Pony Pony Run Run', 'Modjo', 'Cassius', '電気グルーヴ', 'Boards of Canada', 'Daft Punk', 'Boris']"
194,"['Ferras', 'Federico Miranda', 'Mitchel Musso', 'Cibo Matto', 'Jazzanova', 'Tripswitch', 'Asura']"
195,"['Spacemen 3', 'Chatham Rise', 'The Small Faces', 'Blue Öyster Cult', 'Free', 'Lewis Black', 'The Yardbirds']"
196,"['The White Stripes', 'Rush', 'Five Finger Death Punch', 'The Killers', 'Muse', 'Blur', 'Red Hot Chili Peppers']"
198,"['Forbidden', 'Suicide Silence', 'Chelsea Grin', 'As Cities Burn', 'Before Their Eyes', 'Slipknot', 'Black Label Society']"
200,"['Omar A. Rodriguez-Lopez', 'The Wilde Flowers', 'Frank Zappa', 'Hydria', 'Genesis', 'Liquid Mind', 'Chandeen']"
201,"['Mindless Faith', 'Die Sektor', 'Seabound', 'Japan', 'The Neon Judgement', 'Geneva Jacuzzi', 'Asylum Party']"
202,"['Forbidden', 'Queensrÿche', 'Suicide Silence', 'Slipknot', 'Annihilator', 'Peter Pan Speedrock', 'SR-71']"
